record_index,message_index,fragment_role,rule,source_file,source_project,commit_hash,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,test_result_file,coverage_report,coverage_report_current,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note
1,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/main/ets/views/AboutPage.ets,agc-template-market-harmonyos-demos,b9445e27d154b3d9a800d9460f2773a56fd21bef,71,124,yes,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberCenterPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/FeedbackPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/LoginPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/Ability.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/RechargePage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/AboutPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberAgreementPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MyInfoCard.test.ets,instrument-test,book_personAllSuites,hvigorw --no-daemon onDeviceTest -p module=book_person@ohosTest -p coverage=true -p scope=book_personAllSuites,passed,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-29_17:59:13,47,47,100.00,0,0,N/A,10,10,100.00,aboutCardView;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18,rerun passed: 10/10 tests
1,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/main/ets/views/AboutPage.ets,agc-template-market-harmonyos-demos,b9445e27d154b3d9a800d9460f2773a56fd21bef,128,185,yes,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberCenterPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/FeedbackPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/LoginPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/Ability.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/RechargePage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/AboutPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberAgreementPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MyInfoCard.test.ets,instrument-test,book_personAllSuites,hvigorw --no-daemon onDeviceTest -p module=book_person@ohosTest -p coverage=true -p scope=book_personAllSuites,passed,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-29_17:59:13,48,48,100.00,0,0,N/A,11,11,100.00,aboutCardView;anonymous_10;anonymous_20;anonymous_21;anonymous_22;anonymous_23;anonymous_24;anonymous_25;anonymous_26;anonymous_27;anonymous_28,rerun passed: 10/10 tests
2,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/main/ets/mock/DataManager.ets,agc-template-market-harmonyos-demos,52a9a475b6bf52d4878644a020c7add0884d328e,13,33,yes,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/ohosTest/ets/test/DataManager.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/ohosTest/ets/test/Ability.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/src/ohosTest/ets/test/List.test.ets,instrument-test,DataManagerTest+ActsAbilityTest,hvigorw --no-daemon onDeviceTest -p module=agency@ohosTest -p coverage=true -p scope=DataManagerTest+ActsAbilityTest,passed,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/agency/.test/default/outputs/ohosTest/reports/coverageReport.json,reported_in_pr_24_2026-07-29,15,15,100.00,4,4,100.00,3,3,100.00,DataManager.getId;DataManager.saveTodo;anonymous_0,PR #24 acceptance: agency DataManager lines/branches/functions 100%
2,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/main/ets/mock/DataManager.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,13,33,yes,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/DataManager.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/ScheduleForm.test.ets;agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/src/ohosTest/ets/test/Ability.test.ets,instrument-test,ScheduleDataManagerTest+ScheduleFormTest+ActsAbilityTest,hvigorw --no-daemon onDeviceTest -p module=schedule@ohosTest -p coverage=true -p scope=ScheduleDataManagerTest,passed,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/BusinessTemplate/OfficeAttendance/scenes/schedule/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-07-29_22:50:11,15,15,100.00,4,4,100.00,3,3,100.00,DataManager.getId;DataManager.saveOne;anonymous_0,direct insert/update tests cover every executable line and both branch sides
3,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/main/ets/pages/mine/PersonalSetting.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,71,91,yes,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/PersonalSetting.test.ets,instrument-test,PersonalSettingTest,hvigorw --no-daemon onDeviceTest -p module=entry@ohosTest -p coverage=true -p scope=PersonalSettingTest,passed,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-07-29_23:33:41,18,18,100.00,0,0,N/A,9,9,100.00,initialRender;anonymous_15;anonymous_17;anonymous_18;anonymous_19;anonymous_20;anonymous_21;anonymous_22;anonymous_23,device rerun passed; test host injects a no-op agreement event to cover click callbacks without loading the unavailable entry.hsp route
3,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/main/ets/pages/mine/PersonalSetting.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,93,113,yes,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/PersonalSetting.test.ets,instrument-test,PersonalSettingTest,hvigorw --no-daemon onDeviceTest -p module=entry@ohosTest -p coverage=true -p scope=PersonalSettingTest,passed,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-07-29_23:33:41,17,17,100.00,0,0,N/A,10,10,100.00,initialRender;anonymous_15;anonymous_17;anonymous_18;anonymous_19;anonymous_24;anonymous_25;anonymous_26;anonymous_27;anonymous_28,device rerun passed; both agreement click callbacks are covered without route-loading crash
4,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/main/ets/components/QuickLogin.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,311,370,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/QuickLogin.test.ets,instrument-test,QuickLoginCoverTest,hvigorw --no-daemon onDeviceTest -p module=login_info@ohosTest -p coverage=true -p scope=QuickLoginCoverTest,passed,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-07-29_22:32:31,47,47,100.00,12,11,91.67,20,20,100.00,CoverLogin;anonymous_27;anonymous_28;anonymous_29;anonymous_36;anonymous_40;anonymous_41;anonymous_42;anonymous_43;anonymous_44;anonymous_45;anonymous_46;anonymous_47;anonymous_48;anonymous_49;anonymous_50;anonymous_51;anonymous_52;anonymous_53;anonymous_55,rerun passed: both checkbox states and all three privacy callbacks covered
4,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/main/ets/components/QuickLogin.ets,agc-template-market-harmonyos-demos,d7183319c204f878f978656cd7cd065cc8a48cbf,453,510,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/src/ohosTest/ets/test/QuickLogin.test.ets,instrument-test,QuickLoginCoverTest,hvigorw --no-daemon onDeviceTest -p module=login_info@ohosTest -p coverage=true -p scope=QuickLoginCoverTest,passed,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/EducationTemplate/Exam/components/login_info/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-07-29_22:32:31,43,43,100.00,12,11,91.67,20,20,100.00,DefaultLogin;anonymous_56;anonymous_57;anonymous_67;anonymous_68;anonymous_70;anonymous_71;anonymous_72;anonymous_73;anonymous_74;anonymous_75;anonymous_76;anonymous_77;anonymous_78;anonymous_79;anonymous_80;anonymous_81;anonymous_82;anonymous_83;anonymous_85,rerun passed: default view checkbox states and all three privacy callbacks covered
5,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/main/ets/model/PracticeMode.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,19,139,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/src/ohosTest/ets/test/PracticeMode.test.ets,instrument-test,PracticeModeInstrumentTest,"hvigorw --no-daemon onDeviceTest -p module=homePage@ohosTest -p coverage=true -p scope=PracticeModeInstrumentTest,AuthenticationPageInstrumentTest",passed,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/homePage/.test/default/outputs/ohosTest/reports/coverageReport.json,reported_in_pr_24_2026-07-29,33,33,100.00,4,4,100.00,16,16,100.00,PracticeView.constructor;PracticeDataSource.constructor;PracticeDataSource.getData;PracticeDataSource.totalCount;PracticeDataSource.registerDataChangeListener;PracticeDataSource.unregisterDataChangeListener;PracticeDataSource.notifyDataReload;anonymous_0;PracticeDataSource.notifyDataAdd;anonymous_1;PracticeDataSource.notifyDataChange;anonymous_2;PracticeDataSource.notifyDataDelete;anonymous_3;PracticeDataSource.notifyDataMove;anonymous_4,PR #24 acceptance: PracticeMode lines/branches/functions 100%
5,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/src/main/ets/viewModel/PracticeMode.ets,agc-template-market-harmonyos-demos,8d76d0299bf144b7f2530972b68a757879ffdb83,17,139,yes,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/src/ohosTest/ets/test/PracticeMode.test.ets,instrument-test,PracticeModeInstrumentTest,hvigorw --no-daemon onDeviceTest -p module=topicPage@ohosTest -p coverage=true -p scope=PracticeModeInstrumentTest,passed,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,agc-template-market-harmonyos-demos/EducationTemplate/Exam/features/topicPage/.test/default/outputs/ohosTest/reports/coverageReport.json,reported_in_pr_24_2026-07-29,33,33,100.00,4,4,100.00,16,16,100.00,PracticeMode.constructor;PracticeDataSource.constructor;PracticeDataSource.getData;PracticeDataSource.totalCount;PracticeDataSource.registerDataChangeListener;PracticeDataSource.unregisterDataChangeListener;PracticeDataSource.notifyDataReload;anonymous_0;PracticeDataSource.notifyDataAdd;anonymous_1;PracticeDataSource.notifyDataChange;anonymous_2;PracticeDataSource.notifyDataDelete;anonymous_3;PracticeDataSource.notifyDataMove;anonymous_4,PR #24 acceptance: PracticeMode lines/branches/functions 100%
